,steemit,steem,day,photography,bitcoin,new,post,life,daily,sbd,photo,first,world,news,one,crypto,time,cryptocurrency,get,story,good,game,blockchain,market,giveaway,video,make,hello,like,price,music,power,nature,community,people,comment,money,upvote,introduction,old,year,may,round,vote,funny,health,introducing,blog,red,little,Bitcoin_Price
04/2016,20,132,2,2,47,22,103,1,1,2,1,52,5,23,6,8,1,9,16,15,18,2,53,14,3,27,1,2,1,68,5,15,1,2,1,2,6,5,9,4,7,1,3,4,7,1,4,2,23,1,448.32
05/2016,1110,2717,75,374,990,561,755,72,13,20,13,335,133,1224,230,884,241,407,483,158,127,143,530,249,14,172,351,105,339,310,330,362,9,203,257,38,306,184,31,59,171,152,2,311,264,58,80,178,83,45,531.39
06/2016,2691,2880,300,338,2053,1355,902,530,155,22,71,605,180,590,529,484,375,457,531,407,336,88,940,416,24,253,353,1329,454,627,243,824,32,744,492,105,537,61,399,194,132,106,18,388,467,53,245,226,16,126,673.34
07/2016,98353,48758,10430,10829,23740,22741,21757,9249,3031,1125,4636,25995,5343,8455,10124,4582,11631,6043,14349,10224,7130,4969,8270,4818,2333,9572,13565,17974,10802,5158,4851,16832,1640,8714,10066,3336,18469,6063,4592,3674,3798,2450,127,4496,4009,1339,4667,3848,779,3425,624.68
08/2016,94990,40790,13775,15829,23824,28619,20328,15366,9492,2199,8462,24845,7905,8216,14672,3719,14090,5276,13112,14784,8475,7156,10314,3740,3122,10326,14039,9726,10846,5354,6077,14362,2689,5890,13073,1684,15184,6433,6985,5264,4292,3501,566,4640,2560,2822,7470,4717,1941,4654,575.47
09/2016,42862,19378,12647,14622,7152,16584,8670,11737,10132,1921,6635,11326,4853,5134,8363,1429,8000,1946,6536,10332,5072,6896,3399,2639,2090,6549,7499,3206,7138,2103,3253,9638,1980,6297,6578,1090,7961,2265,3174,3801,2266,840,725,4057,1519,2898,3489,2294,1193,3571,609.73
10/2016,30142,16240,9850,12380,5320,11823,6777,8393,8758,2069,10072,7118,4082,3122,6294,834,5571,1339,5636,7513,3853,10347,3134,1850,980,4572,6132,3077,4651,2941,4536,4139,2320,4331,3407,595,3787,767,2231,2415,1392,856,1157,4111,1297,1841,1994,1888,1087,2401,700.97
11/2016,22307,17059,10641,8222,6381,11628,7305,4729,6330,1664,10305,6141,4123,3943,4384,1105,5230,1057,4361,4826,4044,12127,3239,1656,999,4002,3113,2116,3576,4021,2657,6938,1638,2335,3472,1032,2605,602,1726,2375,1779,1122,844,4682,1595,1069,989,1050,1045,1768,745.69
12/2016,26772,16773,11504,9019,10684,13635,9141,6477,7920,1949,8523,6448,3216,7700,5170,1626,4995,1524,4115,5269,6204,13946,4218,2641,2365,6281,4684,3241,4335,3689,4056,4073,2042,4063,4062,1134,3568,760,3556,2765,5793,1259,2430,5753,2088,4544,2576,1200,1035,2347,963.74
01/2017,28753,15454,12841,9753,12773,18998,9552,8722,10099,1560,9477,6943,3482,6996,6078,1367,5640,1729,3830,6724,6367,6071,4095,2708,793,5228,4243,5202,4440,2276,3588,3900,2213,4614,4251,1095,3730,1024,4765,4597,6358,1332,1471,1517,1684,8940,2134,2325,1987,4163,970.4
02/2017,22644,15389,11406,7632,8491,12296,7402,7617,7745,1698,7628,6531,2739,4679,6672,824,5231,1993,3362,5062,5791,4431,3263,1493,1714,3175,4448,3112,3223,2046,3013,3286,1697,4292,4004,710,3392,1363,2765,4591,1909,953,1005,1842,1685,7297,1570,1579,1387,2383,1179.97
